Frequency,S11_Magnitude,S11_Phase,S12_Magnitude,S12_Phase,S21_Magnitude,S21_Phase,S22_Magnitude,S22_Phase,
94000000,-3.635282401,135.9309137,-65.50888328,-103.5196802,-16.71210938,47.74101183,-41.54938769,136.3827154,
95000000,-3.670965035,134.9918337,-65.31157342,-102.0947177,-16.7823003,46.29144106,-41.55662754,135.2194389,
96000000,-3.728973302,134.0437563,-66.04897073,-105.4809122,-16.79787075,44.70721859,-41.56336008,135.2722215,
97000000,-3.738311192,133.2730695,-66.12833143,-108.7413739,-16.815453,43.26488808,-41.59039846,135.2180247,
98000000,-3.760150047,132.6233408,-66.29936804,-110.8429535,-16.91507969,41.90206162,-41.65367159,135.0128366,
99000000,-3.651362056,132.670206,-65.86261744,-112.5394208,-16.90615854,40.40036619,-41.64868695,134.7708009,
100000000,-3.736959864,130.3565493,-65.89923787,-113.7292402,-16.99980425,38.81817841,-41.67543255,134.5802923,
101000000,-3.710917108,129.7373524,-65.95625762,-116.3684195,-17.0121626,37.25379127,-41.68609024,133.9668233,
102000000,-3.81914658,129.5280952,-65.78556821,-116.6818721,-17.01455689,36.23424542,-41.69658549,134.0844985,
103000000,-3.811031298,128.1799797,-67.37608299,-121.6769209,-17.06505881,34.24751369,-41.77349556,133.9603011,
104000000,-3.874254425,128.5159733,-66.03840311,-122.6321679,-17.16711942,33.06904813,-41.79616629,133.4528118,
105000000,-3.852143906,125.8598308,-65.85350124,-120.5798318,-17.23344446,31.69305136,-41.78940505,133.2459225,
106000000,-3.82828242,125.5424039,-66.29833169,-102.8407676,-17.27074893,29.94411758,-41.79889276,132.8927324,
107000000,-3.871721088,124.9667499,-65.93349122,-124.5310873,-17.26537704,28.5917383,-41.80323025,132.859692,
108000000,-3.713445311,123.819923,-65.91252277,-124.4805892,-17.37988518,27.23950655,-41.87566304,132.457336,
109000000,-3.778751512,122.3403495,-65.71466284,-128.707317,-17.39669531,25.81215849,-41.85202928,132.4420436,
110000000,-3.928434334,122.4960109,-65.83072702,-129.8483675,-17.47876328,24.44689733,-41.85507613,132.4583719,
111000000,-3.794838817,121.0326056,-66.16535964,-130.2059948,-17.50619235,22.78105265,-41.88684239,132.2050008,
112000000,-3.850282424,120.7199222,-70.08992579,-42.73091378,-17.58824748,21.421424,-41.90549833,131.5874648,
113000000,-3.80704424,121.0021103,-66.64100329,-132.6592338,-17.65695138,19.79540632,-41.90618242,131.2615599,
114000000,-3.833324754,119.1462824,-66.1226531,-136.2141041,-17.643696,18.99400188,-41.94008757,131.3746113,
115000000,-3.817324981,118.7489369,-66.47409585,-135.8590676,-17.73143705,17.46477397,-41.92622439,131.026506,
116000000,-3.806340038,117.7957074,-67.11959765,-132.0273568,-17.7717242,16.1217226,-41.91493059,130.6682896,
117000000,-3.802940383,116.7855598,-66.20395616,-138.3456813,-17.7654699,14.19733473,-42.02239547,131.0768493,
118000000,-3.861367679,117.7324849,-66.28362516,-142.1616457,-17.90917706,13.44803344,-41.9147856,129.9815342,
119000000,-3.730692521,115.599059,-66.38975964,-142.6964069,-17.96133616,12.11236595,-41.93254497,130.1761397,
120000000,-3.780456602,113.6641334,-66.62065666,-146.6776292,-18.03625035,10.64230839,-42.17856984,130.6070602,
121000000,-3.722423234,113.7378552,-66.29642045,-144.3270879,-18.12841245,9.559897163,-41.96764058,128.9408375,
122000000,-3.708360355,112.5729394,-66.34355337,-143.1240801,-18.10612236,8.35092249,-42.02440053,129.0897356,
123000000,-3.724500315,110.2654308,-64.75809467,-146.8956785,-18.03489185,6.317140811,-42.11413762,131.4659778,
124000000,-4.586269754,102.7563799,-66.14388718,-153.2435809,-18.33442576,2.026483145,-43.10465487,128.204576,
125000000,-3.725428027,109.5347368,-66.55616508,-151.0366933,-18.2655042,4.772335015,-41.96128566,128.8960624,
126000000,-3.862226467,108.5941339,-66.42986319,-150.5512109,-18.3180319,3.473049539,-41.99722828,129.2008082,
127000000,-3.69985066,107.9636615,-66.23442828,-153.8465075,-18.341141,2.222778877,-42.09444018,129.0025542,
128000000,-3.660316785,106.989311,-66.94323016,-155.1998367,-18.39149472,0.929271437,-42.01853239,128.921609,
129000000,-3.629569579,106.7751486,-66.94990353,-156.1541473,-18.40862587,-0.4446429311,-41.96817032,128.3484825,
130000000,-3.687079061,105.4365568,-68.11371664,-153.3525911,-18.43591106,-1.575483991,-42.0239228,128.7573195,
131000000,-3.656906061,104.606902,-66.70858017,-157.1063078,-18.4541099,-2.728963447,-42.18604748,128.187159,
132000000,-3.572181768,103.0290023,-66.6318688,-159.1648873,-18.44472958,-3.904420787,-41.98649499,128.5390701,
133000000,-3.628065226,103.0912298,-63.21400522,-120.7715333,-18.49525688,-5.142269767,-42.18785303,128.0008652,
134000000,-3.648660847,102.311806,-67.24612035,-162.7225778,-18.42428719,-6.474617967,-42.07349464,126.9203192,
135000000,-3.599057158,103.5545805,-66.69782349,-165.198007,-18.57805467,-7.572142322,-42.16567248,126.7498981,
136000000,-3.501633456,101.2954981,-66.59040684,-166.6810019,-18.57857498,-8.558090009,-41.94573084,126.8137784,
137000000,-3.684500814,99.62891872,-66.6408074,-165.7682582,-18.67131987,-9.858508014,-42.01090729,127.7898372,
138000000,-3.639763538,98.90185674,-58.48595092,-137.4056079,-18.66100167,-11.15141424,-42.08796132,127.6170946,
139000000,-3.620320365,98.44216987,-66.33113521,-171.5022425,-18.65930038,-12.16428473,-42.11831357,126.3237301,
140000000,-3.633504491,98.02318595,-66.57263078,-170.5466067,-18.67090853,-13.21737532,-41.99356439,125.8750893,
141000000,-3.492233904,97.0334793,-66.49977981,-173.2119673,-18.64682074,-14.21815785,-41.93848128,126.4268231,
142000000,-3.616851235,96.45152346,-66.26960656,-173.2640897,-18.70882669,-15.53266716,-41.9672261,126.6517273,
143000000,-3.66722303,96.1139669,-65.98848555,-178.2812821,-18.75447492,-16.64552481,-41.96515162,125.6436443,
144000000,-3.306999688,95.84176403,-66.16950582,177.1868152,-18.6031577,-17.72222479,-41.94171909,125.1126389,
145000000,-3.513051781,95.10292729,-66.72031494,179.4375306,-18.72701361,-19.19191204,-42.10734707,125.3531901,
146000000,-3.616315521,94.63612234,-66.23807744,177.5259538,-18.76593523,-20.06328098,-41.86955412,124.753927,
147000000,-3.610482305,93.92078897,-67.71903583,175.3860333,-18.77973194,-21.19938802,-41.92590007,124.5022622,
148000000,-3.649959423,93.36196824,-66.49016418,175.1982178,-18.84377766,-22.01858308,-41.82657405,124.9825831,
149000000,-3.839468023,92.54968591,-65.7939114,170.0684699,-18.9306361,-23.09340823,-41.8290489,125.4610271,
150000000,-3.703050938,92.36374852,-66.27904608,169.9709171,-18.85321222,-24.40839975,-41.98867437,125.0536913,
151000000,-3.896004974,91.27008826,-67.03176385,168.9672458,-18.98695948,-25.15559835,-41.83848483,125.2432458,
152000000,-3.747450375,89.99543715,-66.24607775,170.7245536,-18.9418183,-26.41122646,-41.94292022,124.3432888,
153000000,-3.85833033,90.55981275,-65.2512163,168.1385934,-18.97431484,-27.01792796,-41.82296375,124.4641823,
154000000,-3.887130645,90.27405463,-65.95889722,171.9380168,-18.98378058,-27.75179948,-41.77450246,124.152205,
155000000,-4.129338834,91.05735757,-66.7956995,164.5796059,-19.07274163,-29.6537348,-41.87445406,123.8446547,
156000000,-4.017779312,88.16633531,-65.77549001,165.9244653,-19.10436521,-30.69656231,-41.895238,123.0773809,
157000000,-4.056541252,88.68360981,-67.14946777,161.6993637,-19.07776565,-30.95278276,-41.75560032,124.204286,
158000000,-4.063390047,87.72305322,-67.17735368,163.4857309,-19.05419062,-32.47727578,-41.80250656,122.8738732,
159000000,-4.129890991,87.20409896,-66.41505971,159.994494,-19.10861609,-33.41059704,-41.72280585,124.0096872,
160000000,-4.249340249,87.75596717,-66.81678084,155.0663344,-19.13972381,-34.13865223,-41.64554113,123.4311256,
161000000,-4.169731816,86.40865379,-66.25196562,157.9835486,-19.10529056,-36.08917229,-41.77301694,122.6577689,
162000000,-4.150971922,86.23344306,-65.97265172,153.0146826,-19.04990858,-36.86740723,-41.68317672,121.4643543,
163000000,-4.093289679,85.22719963,-67.83674846,149.7268928,-19.02134412,-37.92875596,-41.62269077,121.9317348,
164000000,-4.111024633,85.46582854,-66.54819167,151.4997857,-19.10748699,-39.31427963,-41.61613528,122.0327575,
165000000,-4.153071337,84.16918916,-66.94838945,148.4980744,-19.09859393,-41.06449927,-41.68472092,121.7692593,
